SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
5LY;MARCO POLO MARINE LTD;5LY;SGD;Stocks;SG;SGX*;Desenvolvido;1
5MD;SOON LIAN HOLDINGS LTD;5MD;SGD;Stocks;SG;SGX*;Desenvolvido;1
5ML;OLD CHANG KEE LTD;5ML;SGD;Stocks;SG;SGX*;Desenvolvido;1
5MZ;KINGSMEN CREATIVES LTD;5MZ;SGD;Stocks;SG;SGX*;Desenvolvido;1
5NF;MENCAST HOLDINGS LTD;5NF;SGD;Stocks;SG;SGX*;Desenvolvido;1
5NV;CHASEN HOLDINGS LTD;5NV;SGD;Stocks;SG;SGX*;Desenvolvido;1
5OC;KOYO INTERNATIONAL LTD;5OC;SGD;Stocks;SG;SGX*;Desenvolvido;1
5OI;JAPAN FOODS HOLDING LTD;5OI;SGD;Stocks;SG;SGX*;Desenvolvido;1
5OQ;TEHO INTERNATIONAL INC LTD;5OQ;SGD;Stocks;SG;SGX*;Desenvolvido;1
5OR;HEATEC JIETONG HOLDINGS LTD;5OR;SGD;Stocks;SG;SGX*;Desenvolvido;1
5OX;MARY CHIA HOLDINGS LTD;5OX;SGD;Stocks;SG;SGX*;Desenvolvido;1
5PC;GOODLAND GROUP LTD;5PC;SGD;Stocks;SG;SGX*;Desenvolvido;1
5PD;HENGYANG PETROCHEMICAL LOGIS;5PD;SGD;Stocks;SG;SGX*;Desenvolvido;1
5PF;JASON MARINE GROUP LTD;5PF;SGD;Stocks;SG;SGX*;Desenvolvido;1
5PO;HIAP TONG CORP LTD;5PO;SGD;Stocks;SG;SGX*;Desenvolvido;1
5QR;MSM INTERNATIONAL LTD;5QR;SGD;Stocks;SG;SGX*;Desenvolvido;1
5QT;CHARISMA ENERGY SERVICES LTD;5QT;SGD;Stocks;SG;SGX*;Desenvolvido;1
5QY;NET PACIFIC FINANCIAL HOLDIN;5QY;SGD;Stocks;SG;SGX*;Desenvolvido;1
5RA;ASIA-PACIFIC STRATEGIC INVES;5RA;SGD;Stocks;SG;SGX*;Desenvolvido;1
5RC;ES GROUP HOLDINGS LTD;5RC;SGD;Stocks;SG;SGX*;Desenvolvido;1
5RE;ASIA VETS HOLDINGS LTD;5RE;SGD;Stocks;SG;SGX*;Desenvolvido;1
5RF;MERCURIUS CAPITAL INVESTMENT;5RF;SGD;Stocks;SG;SGX*;Desenvolvido;1
5SO;DUTY FREE INTERNATIONAL LTD;5SO;SGD;Stocks;SG;SGX*;Desenvolvido;1
5SR;ZHONGMIN BAIHUI RETAIL GROUP;5SR;SGD;Stocks;SG;SGX*;Desenvolvido;1
5SY;ONEAPEX LTD;5SY;SGD;Stocks;SG;SGX*;Desenvolvido;1
5TI;SDAI LTD;5TI;SGD;Stocks;SG;SGX*;Desenvolvido;1
5TJ;FAR EAST GROUP LTD;5TJ;SGD;Stocks;SG;SGX*;Desenvolvido;1
5TP;CNMC GOLDMINE HOLDINGS LTD;5TP;SGD;Stocks;SG;SGX*;Desenvolvido;1
5TT;KEONG HONG HOLDINGS LTD;5TT;SGD;Stocks;SG;SGX*;Desenvolvido;1
5UA;LUMINOR FINANCIAL HOLDINGS L;5UA;SGD;Stocks;SG;SGX*;Desenvolvido;1
5UF;ASPIAL LIFESTYLE LTD;5UF;SGD;Stocks;SG;SGX*;Desenvolvido;1
5UL;ATLANTIC NAVIGATION HOLDINGS;5UL;SGD;Stocks;SG;SGX*;Desenvolvido;1
5UN;SINCAP GROUP LTD;5UN;SGD;Stocks;SG;SGX*;Desenvolvido;1
5UX;OXLEY HOLDINGS LTD;5UX;SGD;Stocks;SG;SGX*;Desenvolvido;1
5VC;KORI HOLDINGS LTD;5VC;SGD;Stocks;SG;SGX*;Desenvolvido;1
5VI;BOLDTEK HOLDINGS LTD;5VI;SGD;Stocks;SG;SGX*;Desenvolvido;1
5VJ;HALCYON AGRI CORP LTD;5VJ;SGD;Stocks;SG;SGX*;Desenvolvido;1
5VP;GDS GLOBAL LTD;5VP;SGD;Stocks;SG;SGX*;Desenvolvido;1
5VS;HAFARY HOLDINGS LTD;5VS;SGD;Stocks;SG;SGX*;Desenvolvido;1
5WA;OUE HEALTHCARE LTD;5WA;SGD;Stocks;SG;SGX*;Desenvolvido;1
5WF;ISOTEAM LTD;5WF;SGD;Stocks;SG;SGX*;Desenvolvido;1
5WG;SINGAPORE KITCHEN EQUIPMENT;5WG;SGD;Stocks;SG;SGX*;Desenvolvido;1
5WH;REX INTERNATIONAL HOLDING;5WH;SGD;Stocks;SG;SGX*;Desenvolvido;1
5WJ;MONEYMAX FINANCIAL SERVICE L;5WJ;SGD;Stocks;SG;SGX*;Desenvolvido;1
5WV;ASIAPHOS LTD;5WV;SGD;Stocks;SG;SGX*;Desenvolvido;1
6;POWER ASSETS HOLDINGS LTD;6;HKD;Stocks;HK;SEHK*;Desenvolvido;1
60;HONG KONG FOOD INVESTMENT HO;60;HKD;Stocks;HK;SEHK*;Desenvolvido;1
600;HYFLUX LTD;600;SGD;Stocks;SG;SGX*;Desenvolvido;1
6005;MIURA CO LTD;6005;JPY;Stocks;JP;JPNNEXT;Desenvolvido;1
6005;CAPITAL SECURITIES CORP;6005;TWD;Stocks;TW;TWSE*;Desenvolvido;1
601;RARE EARTH MAGNESIUM TECHNOL;601;HKD;Stocks;HK;SEHK*;Desenvolvido;1
6013;TAKUMA CO LTD;6013.T;JPY;Stocks;JP;TSEJ*;Desenvolvido;1
6016;JAPAN ENGINE CORP;6016.T;JPY;Stocks;JP;TSEJ*;Desenvolvido;1
6018;HANSHIN DIESEL WORKS LTD;6018.T;JPY;Stocks;JP;CBOE.JPN;Desenvolvido;1
602;JIAHUA STORES HOLDINGS;602;HKD;Stocks;HK;SEHK*;Desenvolvido;1
6022;AKASAKA DIESELS LTD;6022.T;JPY;Stocks;JP;TSEJ*;Desenvolvido;1
6023;DAIHATSU DIESEL MFG CO LTD;6023.T;JPY;Stocks;JP;TSEJ*;Desenvolvido;1
6024;CAPITAL FUTURES CORP;6024;TWD;Stocks;TW;TWSE*;Desenvolvido;1
6026;GMO TECH INC;6026;JPY;Stocks;JP;JPNNEXT;Desenvolvido;1
6027;BENGO4.COM INC;6027;JPY;Stocks;JP;JPNNEXT;Desenvolvido;1
6028;TECHNOPRO HOLDINGS INC;6028;JPY;Stocks;JP;JPNNEXT;Desenvolvido;1
6029;ARTRA GROUP CORP;6029.T;JPY;Stocks;JP;CBOE.JPN;Desenvolvido;1
603;CHINA OIL AND GAS GROUP LTD;603;HKD;Stocks;HK;SEHK*;Desenvolvido;1
6030;CITIC SECURITIES CO LTD-H;6030;HKD;Stocks;HK;SEHK*;Desenvolvido;1
6030;ADVENTURE INC;6030.T;JPY;Stocks;JP;TSEJ*;Desenvolvido;1
6031;ZETA INC;6031;JPY;Stocks;JP;JPNNEXT;Desenvolvido;1
