SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
CKCCIU;UBS ETC ON CMCI COFFEE CHF;CKCCIU;CHF;ETF;CH;EBS*;Desenvolvido;1
CL2;AMUNDI ETF LEVERAGED MSCI US;18MF;EUR;ETF;FR;TGATE;Desenvolvido;1
CLPCIU;UBS ETC ON CMCI COPPER CHF;CLPCIU;CHF;ETF;CH;EBS*;Desenvolvido;1
CM9;AMUNDI ETF MSCI WORLD EX EMU;CM9p;EUR;ETF;FR;BATEEN;Desenvolvido;1
CNAA;AMUNDI MSCI CHINA A UCITS ET;CNAA.DE;EUR;ETF;FR;TRWBDE;Desenvolvido;1
COSE;AMUNDI PEA S&P US CS ESG;COSE;EUR;ETF;FR;SBF*;Desenvolvido;1
CQCCIU;UBS ETC ON CMCI COCOA CHF;CQCCIU;CHF;ETF;CH;EBS*;Desenvolvido;1
CS1;AMUNDI IBEX 35 UCITS ACC;AMES;EUR;ETF;FR;GETTEX;Desenvolvido;1
CSBCIU;UBS ETC ON CMCI SUGAR CHF;CSBCIU;CHF;ETF;CH;EBS*;Desenvolvido;1
CSBGC0;ISHARES SWISS DOM GOVT 7-15;CSB0Zz;CHF;ETF;CH;BATECH;Desenvolvido;1
CSBGC3;ISHARES SBIDG 0-3 CH;CSB3Zz;CHF;ETF;CH;AQXECH;Desenvolvido;1
CSBGC7;ISHARES SBIDG 3-7 CH;CSB7Zz;CHF;ETF;CH;CHIXCH;Desenvolvido;1
CSGLDC;ISHARES GOLD CHF HDG CH;CSGLDz;CHF;ETF;CH;CHIXCH;Desenvolvido;1
CSH1;AMUND EURO OVERNIGHT RETURN;CSHp;EUR;ETF;FR;TRQXEN;Desenvolvido;1
CSSLI;ISHARES SLI ETF CH;CSSLI.S;CHF;ETF;CH;TRWBCH;Desenvolvido;1
CSSMI;ISHARES SMI ETF CH;CSSMIz;CHF;ETF;CH;AQXECH;Desenvolvido;1
CSSMIM;ISHARES SMIM ETF CH;CSSMIM.S;CHF;ETF;CH;TRWBCH;Desenvolvido;1
CU9;AMUNDI MSCI EUROPE EX EMU ES;CU9p;EUR;ETF;FR;CHIXEN;Desenvolvido;1
CWWCIU;UBS ETC ON CMCI WHEAT CHF;CWWCIU;CHF;ETF;CH;EBS*;Desenvolvido;1
DJE;AM DOW JNS INDS AVG UC ETF-D;DJAM;EUR;ETF;FR;IBIS;Desenvolvido;1
DSB;AMUNDI BUND DAILY -2X INV;DSB.PA;EUR;ETF;FR;TRWBEN;Desenvolvido;1
DSD;AMUNDI DAILY SHORTDAY X2;DSDp;EUR;ETF;FR;CHIXEN;Desenvolvido;1
DSUS;AMUNDI US TREASURY 10Y DAILY;DSUSp;EUR;ETF;FR;AQEUEN;Desenvolvido;1
E40;BNP PARIBAS EASY CAC 40 ESG;E40p;EUR;ETF;FR;CHIXEN;Desenvolvido;1
ELCR;AMDI MSCI FUTUREMOBILITY ESG;ELCR;EUR;ETF;FR;SBF*;Desenvolvido;1
ESAD;BNPP FTSE EPRA GLB CTB ETF;ESAD;EUR;ETF;FR;GETTEX;Desenvolvido;1
