SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
ABTEC;AQUA BIO TECHNOLOGY ASA;ABTEC;NOK;Stocks;NO;OSE*;Desenvolvido;1
ABVX;ABIVAX SA;ABVX;EUR;Stocks;FR;SBF*;Desenvolvido;1
AC;ACCOR SA;AC;CHF;Stocks;CH;EBS*;Desenvolvido;1
AC5;ACINQUE SPA;AC5m;EUR;Stocks;FR;AQEUIT;Desenvolvido;1
AC8;ACCELER8 VENTURES LTD;AC8;GBP;Stocks;GB;LSE*;Desenvolvido;1
ACA1;CREDIT AGRICOLE SA;ACA;CHF;Stocks;CH;EBS*;Desenvolvido;1
ACAD;ACADEMEDIA AB;ACAD;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACARIX;ACARIX AB;ACARIX;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACARIXBTA;ACARIX AB-BTA;ACARIX BTA;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACAST;ACAST AB;ACAST;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACC;AKER CARBON CAPTURE ASA;ACC;NOK;Stocks;NO;OSE*;Desenvolvido;1
ACCL;ACCEL SOLUTIONS GROUP LTD;ACCL;ILS;Stocks;IL;TASE*;Desenvolvido;1
ACCON;ACCONEER AB;ACCON;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACE;ASCELIA PHARMA AB;ACE;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACKR;ACKERSTEIN GROUP LTD;ACKR;ILS;Stocks;IL;TASE*;Desenvolvido;1
ACOU;ACOUSORT AB;ACOU;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACOUBTU;ACOUSORT AB - BTU;ACOU BTU;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACOUTO1;ACOUSORT AB TO 1;ACOUTO1;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACPE;ALT RESOURCES PLC;ALTR;GBP;Stocks;GB;LSE*;Desenvolvido;1
ACR;AXACTOR ASA;ACR;NOK;Stocks;NO;OSE*;Desenvolvido;1
ACRI.B;ACRINOVA AB-B;ACRI B;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACRM;ACUITY RM GROUP PLC;ACRM;GBP;Stocks;GB;LSE*;Desenvolvido;1
ACRO;KVUTZAT ACRO LTD;ACRO;ILS;Stocks;IL;TASE*;Desenvolvido;1
ACROUD;ACROUD AB;ACROUD;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACSO;ACCESSO TECHNOLOGY GROUP PLC;ACSOl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
ACT;DECIDEACT A/S;ACT;DKK;Stocks;DK;CPH*;Desenvolvido;1
ACTI;ACTIVE BIOTECH AB.;ACTI;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACUVI;ACUVI AB;ACUVI;SEK;Stocks;SE;SFB*;Desenvolvido;1
ACX;BET-AT-HOME.COM AG;ACX;CHF;Stocks;CH;EBS*;Desenvolvido;1
ADDERABTA;ADDERACARE AB-BTA;ADDERA BTA 1;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADDT.B;ADDTECH AB-B SHARES;ADDT B;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADDV.A;ADDVISE GROUP AB - A;ADDV A;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADDV.B;ADDVISE GROUP AB - B;ADDV B;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADF;FACILITIES BY ADF PLC;ADF;GBP;Stocks;GB;LSE*;Desenvolvido;1
ADGR;ADGAR INVESTMENT & DEVELOPME;ADGR;ILS;Stocks;IL;TASE*;Desenvolvido;1
ADIG;ABRDN DIVERSIFIED INCOME AND;ADIGl;GBP;Stocks;GB;TRQXUK;Desenvolvido;1
ADJ;ADLER GROUP SA;ADJ;CHF;Stocks;CH;EBS*;Desenvolvido;1
ADM;ADMIRAL GROUP PLC;ADMl;GBP;Stocks;GB;CHIXUK;Desenvolvido;1
ADM;ARCHER-DANIELS-MIDLAND CO;ADM;CHF;Stocks;CH;EBS*;Desenvolvido;1
ADN1;ADESSO SE;ADN1d;EUR;Stocks;FR;AQEUDE;Desenvolvido;1
ADT1;ADRIATIC METALS PLC;ADT1;GBP;Stocks;GB;LSE*;Desenvolvido;1
ADTR;ADTRACTION GROUP AB;ADTR;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADVBOX;ADVENTURE BOX TECHNOLOGY AB;ADVBOX;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADVE;ADVENICA AB;ADVE;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADVEBTA;ADVENICA AB-BTA;ADVE BTA;SEK;Stocks;SE;SFB*;Desenvolvido;1
ADVETR;ADVENICA AB-RTS;ADVE TR;SEK;Stocks;SE;SFB*;Desenvolvido;1
AEC;AFRICA ENERGY CORP;AEC;SEK;Stocks;SE;SFB*;Desenvolvido;1
AEET;AQUILA ENERGY EFFICIENCY TRU;AEET;GBP;Stocks;GB;LSE*;Desenvolvido;1
AEG;ACTIVE ENERGY GROUP PLC;AEG;GBP;Stocks;GB;LSE*;Desenvolvido;1
AEI;ABRDN EQUITY INCOME TRUST PL;AEI;GBP;Stocks;GB;LSE*;Desenvolvido;1
AEO;AEOREMA COMMUNICATIONS GROUP;AEO;GBP;Stocks;GB;LSE*;Desenvolvido;1
AEP;ANGLO-EASTERN PLANTATIONS;AEPl;GBP;Stocks;GB;CHIXUK;Desenvolvido;1
AERO;MONTANA AEROSPACE AG;AERO;CHF;Stocks;CH;EBS*;Desenvolvido;1
AERO;SVENSKA AEROGEL HOLDING AB;AERO;SEK;Stocks;SE;SFB*;Desenvolvido;1
AERO.TO4;SVENSKA AEROGEL HOLDING AB WRT TO 4;AERO.TO4;SEK;Stocks;SE;SFB*;Desenvolvido;1
AERO.TO5;SVENSKA AEROGEL HOLDING AB WRT TO 5;AERO.TO5;SEK;Stocks;SE;SFB*;Desenvolvido;1
AEROBTU;SVENSKA AEROGEL HOLDING-BTU;AERO BTU;SEK;Stocks;SE;SFB*;Desenvolvido;1
AEROTO6;SVENSKA AEROGEL HOLDING AB TO 6;AEROTO6;SEK;Stocks;SE;SFB*;Desenvolvido;1
