SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
3104;GLOBAL X EMERGING MARKETS;3104;HKD;ETF;HK;SEHK*;Desenvolvido;1
3108;CSI 300 ESG LEADERS CUSTOM I;3108;HKD;ETF;HK;SEHK*;Desenvolvido;1
3109;CSOP STAR 50 INDEX ETF-HKD;3109;HKD;ETF;HK;SEHK*;Desenvolvido;1
3110;GLOBAL X HS HIGH DIV YIE-HKD;3110;HKD;ETF;HK;SEHK*;Desenvolvido;1
3111;E HK MSCI CHI A50 CO ETF-HKD;3111;HKD;ETF;HK;SEHK*;Desenvolvido;1
3112;PANDO CMS BLOCKCHAIN ETF;3112;HKD;ETF;HK;SEHK*;Desenvolvido;1
3115;ISHARES CORE HANG SENG -HKD;3115;HKD;ETF;HK;SEHK*;Desenvolvido;1
3116;GLBL X AS PCF HG DVD YLD ETF;3116;HKD;ETF;HK;SEHK*;Desenvolvido;1
3118;HARVEST MSCI CHINA A IND-HKD;3118;HKD;ETF;HK;SEHK*;Desenvolvido;1
3119;GLOBALX ASIA SEMCON ETF-HKD;3119;HKD;ETF;HK;SEHK*;Desenvolvido;1
3122;CSOP RMB MONEY MARKET ET-HKD;3122;HKD;ETF;HK;SEHK*;Desenvolvido;1
3125;ISHARES SD CN PBANK BD -HKD;3125;HKD;ETF;HK;SEHK*;Desenvolvido;1
3128;HANG SENG CHINA A SHARE -HKD;3128;HKD;ETF;HK;SEHK*;Desenvolvido;1
3129;BOCHK GRT BAY AREA CLTR HKD;3129;HKD;ETF;HK;SEHK*;Desenvolvido;1
3130;HANG SENG HARVEST CSI 30-HKD;3130;HKD;ETF;HK;SEHK*;Desenvolvido;1
3132;SAMSUNG BBG GB SMCD ETF-HKD;3132;HKD;ETF;HK;SEHK*;Desenvolvido;1
3133;CSOP HTPB CSI 300 ETF-HKD;3133;HKD;ETF;HK;SEHK*;Desenvolvido;1
3134;CSOP HP CSI PHOTOVO IND-HKD;3134;HKD;ETF;HK;SEHK*;Desenvolvido;1
3135;SAMSUNG BITCOIN FTS ACTV ETF;3135;HKD;ETF;HK;SEHK*;Desenvolvido;1
3136;HSI ESG ENH SLT INDEX ETF-HK;3136;HKD;ETF;HK;SEHK*;Desenvolvido;1
3137;GLOBAL X USD MM ETF;3137;HKD;ETF;HK;SEHK*;Desenvolvido;1
3139;GLOBAL X ELEC VEH BAT A ETF;3139;HKD;ETF;HK;SEHK*;Desenvolvido;1
313A;ISHARES S&P 500 TOP 20 ETF;313A.T;JPY;ETF;JP;TSEJ*;Desenvolvido;1
3141;CHINAAMC ASIA USD INVEST-HKD;3141;HKD;ETF;HK;SEHK*;Desenvolvido;1
3145;CHINAAMC ASIA HIGH DIVID-HKD;3145;HKD;ETF;HK;SEHK*;Desenvolvido;1
3146;CAMC 20+ UST ETF DIST HKD;3146;HKD;ETF;HK;SEHK*;Desenvolvido;1
3147;CSOP SZSE CHINEXT ETF-HKD;3147;HKD;ETF;HK;SEHK*;Desenvolvido;1
314A;ISHARES GOLD ETF;314A.T;JPY;ETF;JP;TSEJ*;Desenvolvido;1
3150;GLOBAL X JP GLOBAL LEADERS;3150;HKD;ETF;HK;SEHK*;Desenvolvido;1
3151;PREMIA CHINA STAR 50 ETF-HKD;3151;HKD;ETF;HK;SEHK*;Desenvolvido;1
3152;BOSERA HKD MONEY MARKET ETF;3152;HKD;ETF;HK;SEHK*;Desenvolvido;1
3153;CSOP NIKKEI 225 INDEX ETF;3153;HKD;ETF;HK;SEHK*;Desenvolvido;1
3156;BOSERA 20+ Y US TRE BOND ETF;3156;HKD;ETF;HK;SEHK*;Desenvolvido;1
3158;GLOBAL X K-POP AND CULTURE;3158;HKD;ETF;HK;SEHK*;Desenvolvido;1
315A;GLOBAL X JAPAN BANK HIGH DIV;315A.T;JPY;ETF;JP;TSEJ*;Desenvolvido;1
3160;CHINAAMC MSCI JAPAN HEDG-HKD;3160;HKD;ETF;HK;SEHK*;Desenvolvido;1
3161;CHINAAMC RMB MMF ETF-HKD;3161;HKD;ETF;HK;SEHK*;Desenvolvido;1
3165;CHINAAMC MSCI EUROPE QUA-HKD;3165;HKD;ETF;HK;SEHK*;Desenvolvido;1
3167;ICBC CSOP S&P NEW CHINA -HKD;3167;HKD;ETF;HK;SEHK*;Desenvolvido;1
316A;IFREEETF FANG+;316A.T;JPY;ETF;JP;TSEJ*;Desenvolvido;1
3171;SAMSUNG BLOCKCHAIN TECH ETF;3171;HKD;ETF;HK;SEHK*;Desenvolvido;1
3172;SAMSUNG APAC EX NZ META ETF;3172;HKD;ETF;HK;SEHK*;Desenvolvido;1
3173;PREMIA CSI CAIXIN CHINA -HKD;3173;HKD;ETF;HK;SEHK*;Desenvolvido;1
3174;CSOP CN HEALTHCR DIS ETF-HKD;3174;HKD;ETF;HK;SEHK*;Desenvolvido;1
3175;SAMSUNG S&P GSCI CRUDE O-HKD;3175;HKD;ETF;HK;SEHK*;Desenvolvido;1
3179;HARVEST ETHER SPOT ETF HKD;3179;HKD;ETF;HK;SEHK*;Desenvolvido;1
3181;PREMIA ASIA INNOVATIVE T-HKD;3181;HKD;ETF;HK;SEHK*;Desenvolvido;1
3182;W.I.S.E.-NSDQ CHINA N ECOESG;3182;HKD;ETF;HK;SEHK*;Desenvolvido;1
3184;GLOBAL X INDIA SELECT TOP 10;3184;HKD;ETF;HK;SEHK*;Desenvolvido;1
3185;GLOBAL X FINTECH ETF-HKD;3185;HKD;ETF;HK;SEHK*;Desenvolvido;1
3187;SAMSUNG S&P HIGH DIVIDEN-HKD;3187;HKD;ETF;HK;SEHK*;Desenvolvido;1
3188;CHINAAMC ETF SERIES - CH-HKD;3188;HKD;ETF;HK;SEHK*;Desenvolvido;1
3189;E FUND HK CSI LQR IDX ETFHKD;3189;HKD;ETF;HK;SEHK*;Desenvolvido;1
318A;SIMPLEX VIX SHORT-TERM FUTUR;318A.T;JPY;ETF;JP;TSEJ*;Desenvolvido;1
3190;FUBON HS SSH HIGH DIV ETF;3190;HKD;ETF;HK;SEHK*;Desenvolvido;1
3191;GLOBAL X CHINA SEMICONDU-HKD;3191;HKD;ETF;HK;SEHK*;Desenvolvido;1
3192;BOSERA RMB MONEY MARKET ETF;3192;HKD;ETF;HK;SEHK*;Desenvolvido;1
3193;CSOP YINHUA CSI 5G COMMU-HKD;3193;HKD;ETF;HK;SEHK*;Desenvolvido;1
3195;HANG SENG S&P 500 INDEX HKD;3195;HKD;ETF;HK;SEHK*;Desenvolvido;1
3196;BOSERA USD MMKT ETF - HKD;3196;HKD;ETF;HK;SEHK*;Desenvolvido;1
3199;ICBC CSOP FTSE CHN GVT&PL BI;3199;HKD;ETF;HK;SEHK*;Desenvolvido;1
3403;CHINAAMC HSI ESG ETF-HKD;3403;HKD;ETF;HK;SEHK*;Desenvolvido;1
3404;CHINAAMC MSCI INDIA ETF HKD;3404;HKD;ETF;HK;SEHK*;Desenvolvido;1
3405;FB NYSE FT AS BT AD EG ST TN;3405;HKD;ETF;HK;SEHK*;Desenvolvido;1
3410;HANG SENG JP TP 100 ID ETF;3410;HKD;ETF;HK;SEHK*;Desenvolvido;1
3411;PREMIA JACI USD BOND ETF;3411;HKD;ETF;HK;SEHK*;Desenvolvido;1
3412;DW DIGITAL PAYMT ETF;3412;HKD;ETF;HK;SEHK*;Desenvolvido;1
3413;DOO WEALTH SELECT AI & AUTO;3413;HKD;ETF;HK;SEHK*;Desenvolvido;1
3416;GX HSCEI COVERED CALL ETF;3416;HKD;ETF;HK;SEHK*;Desenvolvido;1
3419;GX HSI COVERED CALL ETF;3419;HKD;ETF;HK;SEHK*;Desenvolvido;1
3422;GLOBAL X BLUECHIP TOP 10;3422;HKD;ETF;HK;SEHK*;Desenvolvido;1
3426;DOO WEALTH SELECT WEB3 ETF;3426;HKD;ETF;HK;SEHK*;Desenvolvido;1
3427;FUBON SOL CORE DIV MA ETF;3427;HKD;ETF;HK;SEHK*;Desenvolvido;1
3432;CSOP MSCI HK CN CONNECT ETF;3432;HKD;ETF;HK;SEHK*;Desenvolvido;1
3433;CSOP FTSE US TRE 20+ IDX-HKD;3433;HKD;ETF;HK;SEHK*;Desenvolvido;1
3435;HS CMS BBG UST 7-10Y IDX ETF;3435;HKD;ETF;HK;SEHK*;Desenvolvido;1
3436;HS CMS BBG UST 1-3Y IDX ETF;3436;HKD;ETF;HK;SEHK*;Desenvolvido;1
3437;BOSERA CSOE HIDV ETF;3437;HKD;ETF;HK;SEHK*;Desenvolvido;1
3439;HARVEST BITCOIN SPOT ETF HKD;3439;HKD;ETF;HK;SEHK*;Desenvolvido;1
3440;GLOBAL X US TREASURY 0-3 M;3440;HKD;ETF;HK;SEHK*;Desenvolvido;1
3450;GLOBAL X US TREAS 3-5 Y ETF;3450;HKD;ETF;HK;SEHK*;Desenvolvido;1
3453;PREMIA TW50;3453;HKD;ETF;HK;SEHK*;Desenvolvido;1
3454;CSOP MAG SEVEN ETF;3454;HKD;ETF;HK;SEHK*;Desenvolvido;1
5GOV;VNCK 5-10 YR AUS GOVT BD ETF;5GOV;AUD;ETF;AU;CHIXAU;Desenvolvido;1
7200;CSOP HANG SENG INDEX DAI-H;7200;HKD;ETF;HK;SEHK*;Desenvolvido;1
7226;CSOP HANG SENG TECH INDE-HKD;7226;HKD;ETF;HK;SEHK*;Desenvolvido;1
7232;FUBON FTSE TW DAI 2X LEV-HKD;7232;HKD;ETF;HK;SEHK*;Desenvolvido;1
7233;CSOP CSI 300 INDEX DAILY-H;7233;HKD;ETF;HK;SEHK*;Desenvolvido;1
7234;BOSERA SZSE CHI D 2X LEV ETF;7234;HKD;ETF;HK;SEHK*;Desenvolvido;1
7261;CHINAAMC NASDAQ 100 D2XL-HKD;7261;HKD;ETF;HK;SEHK*;Desenvolvido;1
7262;CSOP NIKKEI 225 2X LEV PRD;7262;HKD;ETF;HK;SEHK*;Desenvolvido;1
7266;CSOP NASDAQ - 100 INDEX -H;7266;HKD;ETF;HK;SEHK*;Desenvolvido;1
7288;CSOP HANG SENG CHINA ENT-HKD;7288;HKD;ETF;HK;SEHK*;Desenvolvido;1
7299;CSOP GOLD FUTURES DAILY -HKD;7299;HKD;ETF;HK;SEHK*;Desenvolvido;1
7300;CSOP HANG SENG INDEX DAI-H;7300;HKD;ETF;HK;SEHK*;Desenvolvido;1
7332;FUBON FTSE TW DAI -1XINV-HKD;7332;HKD;ETF;HK;SEHK*;Desenvolvido;1
7376;CSOP BTC FUTURES (-1X) INVR;7376;HKD;ETF;HK;SEHK*;Desenvolvido;1
7500;CSOP HANG SENG INDEX DAI-H;7500;HKD;ETF;HK;SEHK*;Desenvolvido;1
7515;CSOP NIKKEI 225 -2 INVR PRD;7515;HKD;ETF;HK;SEHK*;Desenvolvido;1
7522;CHINAAMC NASDAQ-100 D-2I-HKD;7522;HKD;ETF;HK;SEHK*;Desenvolvido;1
7552;CSOP HANG SENG TECH INDE-HKD;7552;HKD;ETF;HK;SEHK*;Desenvolvido;1
7568;CSOP NASDAQ - 100 INDEX -H;7568;HKD;ETF;HK;SEHK*;Desenvolvido;1
7588;CSOP HANG SENG CHINA ENT-HKD;7588;HKD;ETF;HK;SEHK*;Desenvolvido;1
82800;TRACKER FUND OF HONG KON-RMB;82800;CNH;ETF;HK;SEHK*;Desenvolvido;0
82817;PREMIA CH TRE PO BANK BL-CNY;82817;CNH;ETF;HK;SEHK*;Desenvolvido;0
82822;CSOP FTSE CHINA A50 ETF-CNY;82822;CNH;ETF;HK;SEHK*;Desenvolvido;0
82823;ISHARES FTSE CHINA A50 E-CNY;82823;CNH;ETF;HK;SEHK*;Desenvolvido;0
82828;HANG SENG INVESTMENT IND-CNY;82828;CNH;ETF;HK;SEHK*;Desenvolvido;0
82829;ISHARES CN GOVT BOND ETF-CNY;82829;CNH;ETF;HK;SEHK*;Desenvolvido;0
82830;CSOP SAUDI ARABIA ETF-CNY;82830;CNH;ETF;HK;SEHK*;Desenvolvido;0
82832;BOSERA STAR 50 INDEX ETF-CNY;82832;CNH;ETF;HK;SEHK*;Desenvolvido;0
82839;CHINAAMC MSCI CHA50 CNT-RMB;82839;CNH;ETF;HK;SEHK*;Desenvolvido;0
82843;AMUNDI FTSE CHINA A50 IN-CNY;82843;CNH;ETF;HK;SEHK*;Desenvolvido;0
82846;ISHARES CORE CSI 300 ETF-CNY;82846;CNH;ETF;HK;SEHK*;Desenvolvido;0
83001;PREMIA CHINA USD PRO BON-CNY;83001;CNH;ETF;HK;SEHK*;Desenvolvido;0
83005;CSOP CSI 500 ETF-CNY;83005;CNH;ETF;HK;SEHK*;Desenvolvido;0
83010;ISHARES CORE MSCI AXJ -CNY;83010;CNH;ETF;HK;SEHK*;Desenvolvido;0
83012;AMUNDI HANG SENG HK 35 I-CNY;83012;CNH;ETF;HK;SEHK*;Desenvolvido;0
83038;HANG SENG SCCA LWCB ID E RMB;83038;CNH;ETF;HK;SEHK*;Desenvolvido;0
83042;CHINAAMC BITCOIN ETF RMB;83042;CNH;ETF;HK;SEHK*;Desenvolvido;0
83046;CHINAAMC ETHER ETF RMB;83046;CNH;ETF;HK;SEHK*;Desenvolvido;0
83053;CSOP HONG KONG DOLLAR MO-CNY;83053;CNH;ETF;HK;SEHK*;Desenvolvido;0
83059;GX AGREENBOND-R;83059;CNH;ETF;HK;SEHK*;Desenvolvido;0
83069;CHINAAMC HANG SENG BIOT-CNY;83069;CNH;ETF;HK;SEHK*;Desenvolvido;0
83081;VALUEGOLD ETF-CNY;83081;CNH;ETF;HK;SEHK*;Desenvolvido;0
83088;CHINAAMC HANG SENG TECH;83088;CNH;ETF;HK;SEHK*;Desenvolvido;0
83108;HARVEST CSI 300 ESG LEAD-CNY;83108;CNH;ETF;HK;SEHK*;Desenvolvido;0
83111;E HK MSCI CHI A50 CO ETF-RMB;83111;CNH;ETF;HK;SEHK*;Desenvolvido;0
83115;ISHARES CORE HANG SENG -CNY;83115;CNH;ETF;HK;SEHK*;Desenvolvido;0
83118;HARVEST MSCI CHINA A IND-CNY;83118;CNH;ETF;HK;SEHK*;Desenvolvido;0
83122;CSOP RMB MONEY MARKET ET-CNY;83122;CNH;ETF;HK;SEHK*;Desenvolvido;0
83125;ISHARES SD CN PBANK BD -CNY;83125;CNH;ETF;HK;SEHK*;Desenvolvido;0
83128;HANG SENG CHINA A SHARE -CNY;83128;CNH;ETF;HK;SEHK*;Desenvolvido;0
83129;BOCHK GRT BAY AREA CLTR RMB;83129;CNH;ETF;HK;SEHK*;Desenvolvido;0
83130;HANG SENG HARVEST CSI 30-CNY;83130;CNH;ETF;HK;SEHK*;Desenvolvido;0
83146;CAMC 20+ UST ETF DIST RMB;83146;CNH;ETF;HK;SEHK*;Desenvolvido;0
83147;CSOP SZSE CHINEXT ETF-CNY;83147;CNH;ETF;HK;SEHK*;Desenvolvido;0
